merchant,merchant_alias,description,category
Nykaa Retail,NYKAA BEAUTY RETAIL,Hair Serum & Moisturizer,Shopping
Amazon India,AMAZON SELLER SERVICES,Cotton Casual Shirts,Shopping
Indane LPG Gas Bill,INDIAN OIL LPG BILL,14.2kg Domestic LPG Cylinder Booking,Utilities
Country Delight Store,COUNTRY DELIGHT STORE,Country Delight Store - Recurring Subscription,Groceries
Chai Point,CHAI POINT,Filter Coffee & Bun Maska,Food & Dining
BusinessOwner Corporate Payout,SALARY/DEVREDDY,Monthly Salary Credit - October 2025,Miscellaneous
CRED RentPay Pay,CRED RENTPAY PAY,CRED RentPay Pay - Recurring Subscription,Rent & Housing
Beardo Spa,ZED BLACK BEARDO SPA,Charcoal Face Wash & Grooming Kit,Grooming
Coursera Edu,COURSERA EDU,Coursera Edu - Recurring Subscription,Education
School Tuition Fee Edu,DELHI PUBLIC SCHOOL FEE EDU,Quarterly School Tuition & Transport Fee,Education
McDonald's Express,MCD DELIVERY EXPRESS,McSpicy Chicken Meal,Food & Dining
Haldiram's Delivery,HALDIRAMS DELIVERY,Assorted Sweets Box,Food & Dining
Mainland China Express,MAINLAND CHINA EXPRESS,Chinese Buffet,Food & Dining
IOCL Fuel Pay,INDIANOIL CORP PAY,XtraPremium Petrol Refill,Transportation
Bikanervala Express,BIKANERVALA SWEETS EXPRESS,Special Thali,Food & Dining
Crossword Bookstore Edu,CROSSWORD BOOKSTORES EDU,Technical Books & Fiction Novels,Education
Uber Service,UBER*PAYMENT SERVICE,Uber Go Intercity,Transportation
Airbnb India,AIRBNB,Beachfront Homestay Gokarna,Vacation
Scaler Academy Learning,SCALER ACADEMY LEARNING,Software Engineering Track Installment,Education
Vi Postpaid Bill,VI POSTPAID BILL,Mobile Postpaid Monthly Bill,Utilities
PPF Deposit Investments,SBI PPF ACCOUNT INVESTMENTS,Annual PPF Tax Saving Contribution,Investments
Udemy,UDEMY,Python Data Science Masterclass Course,Education
Local Kirana Store Store,UPAHAR PROVISIONS STORE,Loose Dal & Rice,Groceries
MSEDCL Power,MAHARASHTRA ELECTRICITY,MSEDCL Power - Recurring Subscription,Utilities
Airtel Broadband Bill,AIRTEL BROADBAND BILL,Fiber Optic Broadband Monthly Bill 200Mbps,Utilities
Domino's Pizza Express,DOMINOS EXPRESS,Choco Lava Cake,Food & Dining
Zerodha Investments,ZERODHA COIN INVESTMENTS,Equity Shares Purchase,Investments
Coursera Edu,COURSERA EDU,Deep Learning Specialization Certificate Fee,Education
Jawed Habib Salon Spa,JAWED HABIB SPA,"Haircut, Wash & Styling",Grooming
Flipkart Digital,FLIPKART INTERNET DIGITAL,Running Shoes & Sports Wear,Shopping
Urban Company Care,URBANIC TECH CARE,Salon at Home - Haircut & Facial,Grooming
Zepto Store,ZEPTO DAILY STORE,Fresh Tomatoes & Onions,Groceries
D-Mart Store,DMART STORE,Detergents & Toiletries,Groceries
Investor Corporate Payout,SALARY/VIKRAMMEHTA,Monthly Salary Credit - February 2025,Miscellaneous
Society Maintenance Online,MYGATE MAINTENANCE ONLINE,Society Maintenance Online - Recurring Subscription,Rent & Housing
Swiggy,Swiggy,Instamart Milk,Groceries
BigBasket Direct,BIGBASKET DIRECT,Personal Care & Household,Groceries
Zudio Digital,TRENT LTD ZUDIO DIGITAL,Winter Hoodie & Trackpants,Shopping
Prime Video Digital,AMAZON PRIME DIGITAL,Amazon Prime Annual Membership,Entertainment
McDonald's Outlet,MCDONALDS Ahmedabad OUTLET,McSpicy Chicken Meal,Food & Dining
Subway Express,SUBWAY INDIA EXPRESS,Roasted Chicken Sub,Food & Dining
Adani Electricity Bill,ADANI POWER MUMBAI BILL,Monthly Power Utility Payment,Utilities
Coursera Academy,COURSERA ACADEMY,Coursera Academy - Recurring Subscription,Education
Cafe Coffee Day Delivery,CCD DELIVERY,Tropical Ice Tea,Food & Dining
Naturals Salon Care,NATURALS SALON CARE,Facial & Threading,Grooming
Ola Cabs Pay,OLA PAY,Ola Prime SUV Family Ride,Transportation
Airtel Broadband,AIRTEL BROADBAND,Airtel Broadband - Recurring Subscription,Utilities
Namma Metro Fuel,BMRCL FUEL,Namma Metro Card Recharge,Transportation
NoBroker Rent Pay Online,NOBROKER TECHNOLOGIES ONLINE,NoBroker Rental Agreement Fee,Rent & Housing
WorkingProfessional Corporate Payout,SALARY/RAHULJOSHI,Monthly Salary Credit - October 2025,Miscellaneous
Unacademy Academy,SORTING HAT TECHNOLOGIES ACADEMY,CAT Exam Preparation Plus Subscription,Education
IndiGo Pay,INDIGO PAY,Flight Ticket - Blr to Del,Transportation
Society Maintenance Online,APARTMENT ASSN MAINTENANCE ONLINE,Quarterly Maintenance Fee,Rent & Housing
Goibibo Travels,GOIBIBO TRAVELS,Weekend Hotel Booking in Coorg,Vacation
Goibibo Travels,GOIBIBO TRAVELS,Weekend Hotel Booking in Coorg,Vacation
Reliance Fresh Store,RELIANCE SMART STORE,Household Cleaners,Groceries
Zomato Delivery,ZOMATO DELIVERY,North Indian Combo,Food & Dining
Investor Corporate Payout,SALARY/KAVYAGUPTA,Monthly Salary Credit - March 2025,Miscellaneous
ICICI Direct Investments,ICICI SECURITIES INVESTMENTS,Equity Portfolio Investment,Investments
Apollo Pharmacy Healthcare,APOLLO HOSPITALS PHARMA HEALTHCARE,Prescription Medicines & Vitamins,Healthcare
Student Corporate Payout,SALARY/ARJUNRAO,Monthly Salary Credit - September 2025,Miscellaneous
Burger King Delivery,BK DELIVERY DELIVERY,Whopper Combo,Food & Dining
NoBroker Rent Pay Pay,NOBROKER RENT PAY,NoBroker Rental Agreement Fee,Rent & Housing
YouTube Premium Digital,GOOGLE YOUTUBE DIGITAL,YouTube Family Subscription,Entertainment
WorkingProfessional Corporate Payout,SALARY/ARJUNSINGHANIA,Monthly Salary Credit - December 2025,Miscellaneous
Nykaa Digital,NYKAA BEAUTY DIGITAL,Makeup Products & Foundation,Shopping
Chaayos Delivery,CHAAYOS CAFE DELIVERY,Adrak Elaichi Tea,Food & Dining
Domino's Pizza Outlet,DOMINOS OUTLET,Cheese Burst Pizza,Food & Dining
Baskin Robbins,GRAVISS FOODS,Two Scoop Waffle Cone,Food & Dining
Tata Play DTH Bill,TATA PLAY BILL,DTH Monthly HD Pack Recharge,Utilities
Licious,LICIOUS,Atlantic Salmon Fillet,Groceries
Prime Video India,AMAZON PRIME SUBSCRIPTION INDIA,Prime Video India - Recurring Subscription,Entertainment
H&M India Digital,H&M RETAIL INDIA DIGITAL,Cotton Basic Tops,Shopping
Taj Hotels,INDIAN HOTELS CO LTD,Taj Lake Palace Luxury Suite Weekend Stay,Vacation
SpiceJet Pay,SPICEJET AIRLINES PAY,Flight Ticket Booking,Transportation
Housing.com Rent Pay,LOCON SOLUTIONS PAY,House Rent Payment via Housing Pay,Rent & Housing
Air India,AIR INDIA,Flight Booking to Mumbai,Transportation
Apple Store Retail,APPLE STORE RETAIL,iPhone 15 Pro Purchase,Shopping
Swiggy Express,SWIGGY FOODS EXPRESS,Veg Meals,Food & Dining
BusinessOwner Corporate Payout,SALARY/SIDDHARTHJOSHI,Monthly Salary Credit - May 2025,Miscellaneous
SonyLIV Media,CULVER MAX ENTERTAINMENT MEDIA,SonyLIV Media - Recurring Subscription,Entertainment
Swiggy Instamart,SWIGGY GROCERY,Biscuits & Beverages,Groceries
Prime Video India,AMAZON PRIME SUBSCRIPTION INDIA,Prime Monthly Video Plan,Entertainment
Society Maintenance,SOCIETY MAINTENANCE,Quarterly Maintenance Fee,Rent & Housing
BPCL Fuel Fuel,BHARAT PETROLEUM FUEL,Speed Petrol Refill,Transportation
Coursera,COURSERA INC,Deep Learning Specialization Certificate Fee,Education
Local Kirana Store,KIRANA STORE,Sugar & Salt,Groceries
Dr Lal PathLabs Healthcare,DR LAL PATHLABS HEALTHCARE,Thyroid Profile Test,Healthcare
Country Delight Mart,COUNTRY DELIGHT MART,Pure Desi Ghee,Groceries
Licious Store,LICIOUS STORE,Fresh Chicken Breast,Groceries
BusinessOwner Corporate Payout,SALARY/ISHANPATEL,Monthly Salary Credit - March 2025,Miscellaneous
Swiggy Outlet,SWIGGY FOODS OUTLET,Veg Meals,Food & Dining
Cafe Coffee Day Express,COFFEE DAY GLOBAL EXPRESS,Cafe Latte & Garlic Toast,Food & Dining
Local Kirana Store Store,LAKSHMI STORES STORE,Packet Milk & Biscuits,Groceries
Myntra Retail,MYNTRA FASHION RETAIL,Leather Jacket & Boots,Shopping
Taj Hotels,TAJ RESORTS,Fine Dining & Spa,Vacation
KFC Outlet,KFC OUTLET,Smoky Red Chicken,Food & Dining
Zomato Express,ZOMATO Indore EXPRESS,Burger Meal,Food & Dining
Pizza Hut Express,PIZZA HUT ONLINE EXPRESS,Tandoori Paneer Pizza,Food & Dining
Landlord Direct Rent Pay,HOUSE RENT UPI PAY,House Rent for Current Month,Rent & Housing
Zara India Store,ZARA STORE,Slim Fit Denim Jeans,Shopping
Empire Restaurant Delivery,HOTEL EMPIRE DELIVERY,Ghee Rice & Kebab,Food & Dining
Namma Yatri Pay,MOVING TECH NAMMA PAY,Direct Auto Payment,Transportation
Pizza Hut Delivery,PIZZA HUT DELIVERY,Tandoori Paneer Pizza,Food & Dining
Adani Electricity,ADANI POWER MUMBAI,Adani Electricity - Recurring Subscription,Utilities
Society Maintenance,SOCIETY MAINTENANCE,Monthly Society Maintenance & Water Charges,Rent & Housing
Coursera Learning,COURSERA LEARNING,Deep Learning Specialization Certificate Fee,Education
WorkingProfessional Corporate Payout,SALARY/RIYAVERMA,Monthly Salary Credit - June 2025,Miscellaneous
FreshToHome,FRESHTOHOME,Marinated Meat Items,Groceries
NPS Contribution Investments,CRA NSDL NPS INVESTMENTS,NPS Contribution Investments - Recurring Subscription,Investments
PharmEasy Medical,PHARMEASY ONLINE MEDICAL,Blood Pressure Monitor,Healthcare
Zudio,TRENT LTD ZUDIO,Winter Hoodie & Trackpants,Shopping
MakeMyTrip,MAKEMYTRIP,Roundtrip Flight & Hotel Combo,Vacation
Coursera Academy,COURSERA INC ACADEMY,Deep Learning Specialization Certificate Fee,Education
Swiggy Express,SWIGGY EXPRESS,Late Night Snacks,Food & Dining
NoBroker Rent Pay,NOBROKER RENT,NoBroker Rent Pay - Recurring Subscription,Rent & Housing
Zara India Fashion,ZARA FASHION,Slim Fit Denim Jeans,Shopping
Vijay Sales Retail,VIJAY SALES RETAIL,Double Door Refrigerator,Shopping
DTDC Express,DTDC,Outstation Courier Document Charge,Miscellaneous
Spotify Digital,SPOTIFY DIGITAL,Spotify Duo Monthly Plan,Entertainment
Disney+ Hotstar Digital,DISNEY+ HOTSTAR DIGITAL,Disney+ Hotstar Digital - Recurring Subscription,Entertainment
Oyo Rooms,OYO ROOMS,Business Trip Overnight Stay,Vacation
PhysicsWallah Academy,PW LIVE ACADEMY,JEE Main Target Batch Course Fee,Education
FreshToHome Direct,FRESHTOHOME FOODS DIRECT,Fresh Sea Fish,Groceries
Zepto,KIRANAKART,Instant Grocery Delivery,Groceries
FreshToHome Mart,FRESHTOHOME MART,Antibiotic-free Chicken,Groceries
IRCTC,IRCTC E-TICKETING,Rajdhani Express AC 2 Tier,Transportation
MSEDCL Power Utility,MAHARASHTRA ELECTRICITY UTILITY,Power & Electricity Monthly Charges,Utilities
Udemy,UDEMY ONLINE COURSES,Fullstack Web Development Bootcamp,Education
PPF Deposit Capital,PUBLIC PROVIDENT FUND CAPITAL,PPF Deposit Capital - Recurring Subscription,Investments
Beardo,ZED BLACK BEARDO,Beard Oil & Growth Serum,Grooming
MakeMyTrip Stays,MMT INDIA STAYS,Manali Tour Package Booking,Vacation
Ajio Retail,RELIANCE RETAIL AJIO RETAIL,Winter Wear Jackets,Shopping
Tata Power Bill,TATA POWER DELHI BILL,Electricity Bill Payment,Utilities
Upstox Investments,RKSV SECURITIES INVESTMENTS,FNO Options Investment,Investments
Investor Corporate Payout,SALARY/SNEHAIYER,Monthly Salary Credit - May 2025,Miscellaneous
D-Mart Mart,DMART READY MART,Detergents & Toiletries,Groceries
Crossword Bookstore Edu,CROSSWORD BOOKSTORES EDU,Notebooks & Premium Stationery,Education
Ajio Store,RELIANCE RETAIL AJIO STORE,Ethnawear Kurtis,Shopping
Baskin Robbins Delivery,GRAVISS FOODS DELIVERY,Mississippi Mud Sundae,Food & Dining
Paradise Biryani Express,PARADISE FOOD COURT EXPRESS,Hyderabadi Mutton Biryani,Food & Dining
Indane LPG Gas,INDIAN OIL LPG,14.2kg Domestic LPG Cylinder Booking,Utilities
MakeMyTrip Travels,MAKEMYTRIP TRAVELS,Roundtrip Flight & Hotel Combo,Vacation
D-Mart Mart,DMART READY MART,Cooking Oil & Rice Pack,Groceries
Pizza Hut Express,PIZZA HUT ONLINE EXPRESS,Pasta & Garlic Bread,Food & Dining
Airbnb India Travels,AIRBNB PAYMENTS TRAVELS,Private Villa Booking in Lonavala,Vacation
Indane LPG Gas Bill,INDIAN OIL LPG BILL,14.2kg Domestic LPG Cylinder Booking,Utilities
McDonald's Delivery,HARDCASTLE RESTAURANTS DELIVERY,Cold Coffee & Soft Serve,Food & Dining
Social Delivery,IMPRESARIO ENTERTAINMENT DELIVERY,Weekend Drinks with Friends,Food & Dining
Nykaa Fashion,NYKAA FASHION,Hair Serum & Moisturizer,Shopping
Goibibo,GOIBIBO,Weekend Hotel Booking in Coorg,Vacation
Crossword Bookstore Edu,CROSSWORD BOOKSTORES EDU,Technical Books & Fiction Novels,Education
Blinkit,HANDS ON TRADES,Morning Breakfast Supplies,Groceries
Bodycraft Salon Spa,BODYCRAFT SPA,Skin De-tan & Haircare Package,Grooming
Domino's Pizza Express,JUBILANT FOODWORKS EXPRESS,Farmhouse Pizza & Garlic Bread,Food & Dining
Bikanervala,BIKANERVALA SWEETS,Samosa & Jalebi,Food & Dining
D-Mart Direct,DMART Kolkata DIRECT,Cooking Oil & Rice Pack,Groceries
Subway,SUBWAY INDIA,Paneer Tikka Sub 6-inch,Food & Dining
BESCOM Electricity,BESCOM BILL PAY,BESCOM Electricity - Recurring Subscription,Utilities
Taco Bell Outlet,BURMAN HOSPITALITY TACO OUTLET,Naked Chicken Taco,Food & Dining
Pet Care Clinic Services,PET CARE CLINIC SERVICES,Pet Vaccination & Routine Health Checkup,Miscellaneous
Landlord Direct Rent Online,HOUSE RENT UPI ONLINE,House Rent for Current Month,Rent & Housing
PharmEasy Medical,API HOLDINGS MEDICAL,Monthly Medicine Order,Healthcare
Local Kirana Store Mart,KIRANA STORE MART,Loose Dal & Rice,Groceries
Bodycraft Salon Care,BODYCRAFT CARE,Aromatherapy Massage,Grooming
BookMyShow India,BIGTREE ENTERTAINMENT INDIA,Standup Comedy Show Tickets,Entertainment
Zerodha Investments,ZERODHA INVESTMENTS,Zerodha Investments - Recurring Subscription,Investments
Dr Lal PathLabs Healthcare,DR LAL PATHLABS HEALTHCARE,Full Body Health Checkup Package,Healthcare
Scaler Academy Learning,SCALER ACADEMY LEARNING,Software Engineering Track Installment,Education
PhysicsWallah Academy,PW LIVE ACADEMY,JEE Main Target Batch Course Fee,Education
Swiggy Instamart Direct,INSTAMART DIRECT,Snack Pantry Refill,Groceries
Decathlon Retail,DECATHLON RETAIL,Trekking Backpack & Shoes,Shopping
SonyLIV Media,CULVER MAX ENTERTAINMENT MEDIA,SonyLIV Premium Annual Subscription,Entertainment
Landlord Direct Rent Pay,HOUSE RENT UPI PAY,House Rent for Current Month,Rent & Housing
Disney+ Hotstar India,NOVI DIGITAL INDIA,Disney+ Hotstar Super Plan,Entertainment
Third Wave Coffee Outlet,CUSTOMIZED COFFEE PVT OUTLET,Avocado Toast & Latte,Food & Dining
Landlord Direct Rent,HOUSE RENT UPI,Room Rent Payment,Rent & Housing
Naturals Ice Cream Delivery,KAMAT HOTELS NATURALS DELIVERY,Family Pack Tub,Food & Dining
Oyo Rooms Holidays,ORAVEL STAYS HOLIDAYS,Business Trip Overnight Stay,Vacation
Upstox Capital,UPSTOX CAPITAL,Stock Trading Margin Topup,Investments
Adani Electricity Utility,ADANI POWER MUMBAI UTILITY,Monthly Power Utility Payment,Utilities
Swiggy Instamart Store,SWIGGY GROCERY STORE,Biscuits & Beverages,Groceries
Flipkart Store,FKMP PAY STORE,Smart TV Purchase,Shopping
HPCL Fuel Pay,HP PETROL PUMP PAY,Petrol Tank Full,Transportation
Reliance Fresh Direct,RELIANCE RETAIL DIRECT,Household Cleaners,Groceries
Coursera Learning,COURSERA INC LEARNING,Coursera Plus Annual Subscription,Education
Apollo Pharmacy Healthcare,APOLLO 247 HEALTHCARE,First Aid & Skincare Items,Healthcare
Zara India Retail,INDITEX ZARA RETAIL,Leather Handbag,Shopping
NPS Contribution Capital,NPS TRUST CAPITAL,Tier-1 NPS Retirement Contribution,Investments
More Megastore,MORE SUPERMARKET,Supermarket Groceries Order,Groceries
ICICI Direct,ICICI SECURITIES,Corporate Bond Purchase,Investments
Retired Corporate Payout,SALARY/DEVRAO,Monthly Salary Credit - November 2025,Miscellaneous
Crossword Bookstore Academy,CROSSWORD ACADEMY,Notebooks & Premium Stationery,Education
MSEDCL Power Bill,MAHARASHTRA ELECTRICITY BILL,Power & Electricity Monthly Charges,Utilities
Unacademy Learning,SORTING HAT TECHNOLOGIES LEARNING,CAT Exam Preparation Plus Subscription,Education
Rapido Fuel,RAPIDO BIKE FUEL,Rapido Bike Taxi Ride,Transportation
Country Delight Direct,ORGANICS COUNTRY DELIGHT DIRECT,Country Delight Direct - Recurring Subscription,Groceries
Bodycraft Salon Salon,BODYCRAFT SALON,Aromatherapy Massage,Grooming
Landlord Direct Rent Online,HOUSE RENT UPI ONLINE,House Rent for Current Month,Rent & Housing
Student Corporate Payout,SALARY/YASHVERMA,Monthly Salary Credit - December 2025,Miscellaneous
Family Corporate Payout,SALARY/KAVYAIYER,Monthly Salary Credit - April 2025,Miscellaneous
MSEDCL Power,MAHARASHTRA ELECTRICITY,MSEDCL Power - Recurring Subscription,Utilities
Namma Yatri Service,MOVING TECH NAMMA SERVICE,Auto Ride via Namma Yatri,Transportation
Amazon India,AMZN PAY,Home Decor Items,Shopping
Groww,GROWW SIP,Direct Equity Investment,Investments
Domino's Pizza Express,DOMINOS EXPRESS,Cheese Burst Pizza,Food & Dining
Urban Company Spa,URBAN COMPANY SPA,Pedicure & Manicure,Grooming
Westside,TRENT LIMITED WESTSIDE,Formal Trousers & Blazers,Shopping
Prime Video Digital,PRIME VIDEO DIGITAL,Prime Video Digital - Recurring Subscription,Entertainment
KFC Delivery,KFC ONLINE DELIVERY,Zinger Burger Meal,Food & Dining
Beardo Salon,BEARDO SALON,Beard Oil & Growth Serum,Grooming
Airbnb India Stays,AIRBNB PAYMENTS STAYS,Beachfront Homestay Gokarna,Vacation
Wow! Momo Express,WOW MOMO FOODS EXPRESS,Steamed Chicken Momos,Food & Dining
Udemy Academy,UDEMY ACADEMY,Python Data Science Masterclass Course,Education
NPS Contribution Investments,CRA NSDL NPS INVESTMENTS,NPS Contribution Investments - Recurring Subscription,Investments
McDonald's,MCDONALDS,McVeggie Burger & Fries,Food & Dining
Zerodha,ZERODHA,Equity Shares Purchase,Investments
Airbnb India,AIRBNB,Private Villa Booking in Lonavala,Vacation
Croma Fashion,CROMA FASHION,Washing Machine Front Load,Shopping
PharmEasy,API HOLDINGS,Health Supplements & Protein,Healthcare
Zerodha,ZERODHA COIN,Zerodha - Recurring Subscription,Investments
Wonderla Media,WONDERLA MEDIA,Wonderla Weekend Family Passes,Entertainment
Paytm Money Investments,PAYTM MONEY INVESTMENTS,Nifty 50 Mutual Fund SIP,Investments
Lenskart,LENSKART,Contact Lenses & Solution,Healthcare
Urban Company Spa,URBAN CLAP SPA,Salon at Home - Haircut & Facial,Grooming
IndiGo Service,INDIGO AIRLINES SERVICE,Flight Ticket - Blr to Del,Transportation
Apple Music India,APPLE MUSIC INDIA,Apple Music Monthly Student/Individual Plan,Entertainment
Social Express,IMPRESARIO ENTERTAINMENT EXPRESS,Weekend Drinks with Friends,Food & Dining
Paytm Money Capital,PAYTM CAPITAL CAPITAL,Nifty 50 Mutual Fund SIP,Investments
PPF Deposit,PPF DEPOSIT,PPF Deposit - Recurring Subscription,Investments
Apple Store Retail,UNICORN APPLE RETAIL,AirPods Pro 2,Shopping
Flipkart Digital,FLIPKART INTERNET DIGITAL,Smart TV Purchase,Shopping
Subway Outlet,SUBWAY OUTLET,Paneer Tikka Sub 6-inch,Food & Dining
Blinkit Direct,BLINKIT DIRECT,Late Night Munchies,Groceries
Namma Metro Service,BMRCL SERVICE,Metro QR Ticket,Transportation
Myntra Store,MYNTRA STORE,Denim Jeans & T-shirts,Shopping
Booking.com Travels,BOOKING.COM TRAVELS,Luxury Heritage Hotel Stay Jaipur,Vacation
Baskin Robbins Outlet,GRAVISS FOODS OUTLET,Two Scoop Waffle Cone,Food & Dining
Oyo Rooms Stays,ORAVEL STAYS STAYS,Budget Hotel Stay for 2 Nights,Vacation
KFC,DEVYANI INTERNATIONAL,Hot & Crispy Bucket,Food & Dining
PPF Deposit Capital,PUBLIC PROVIDENT FUND CAPITAL,PPF Deposit Capital - Recurring Subscription,Investments
Namma Yatri Fuel,NAMMA YATRI FUEL,Direct Auto Payment,Transportation
Booking.com Stays,BOOKING.COM STAYS,Boutique Resort Stay Udaipr,Vacation
Netflix India,NETFLIX INDIA,Netflix Standard Monthly Plan,Entertainment
Delhi Metro Fuel,DMRC CARD RECHARGE FUEL,Metro Card Auto-Topup,Transportation
Amazon India Retail,AMAZON PAY INDIA RETAIL,Home Decor Items,Shopping
Amazon India Fashion,AMAZON FASHION,Wireless Bluetooth Earbuds,Shopping
MSEDCL Power,MAHARASHTRA ELECTRICITY,Power & Electricity Monthly Charges,Utilities
KFC,KFC INDIA,Popcorn Chicken,Food & Dining
Spotify,SPOTIFY INDIA,Spotify Premium Individual Plan,Entertainment
Society Maintenance Online,MYGATE MAINTENANCE ONLINE,Monthly Society Maintenance & Water Charges,Rent & Housing
CRED RentPay,DREAMPLUG RENT,Flat Rent Pay via CRED,Rent & Housing
Student Corporate Payout,SALARY/DEVPATEL,Monthly Salary Credit - May 2025,Miscellaneous
Country Delight,ORGANICS COUNTRY DELIGHT,Fresh Paneer & Taaza Dahi,Groceries
Urban Company Salon,URBAN CLAP SALON,Deep Tissue Full Body Massage,Grooming
Crossword Bookstore,CROSSWORD BOOKSTORES,Notebooks & Premium Stationery,Education
Naturals Salon Spa,NATURALS SALON SPA,Hair Coloring & Keratin Treatment,Grooming
Upstox Investments,UPSTOX INVESTMENTS,Stock Trading Margin Topup,Investments
Swiggy Outlet,SWIGGY*PAY OUTLET,Pizza Order,Food & Dining
Scaler Academy Learning,INTERVIEWBIT LEARNING,Scaler Academy Learning - Recurring Subscription,Education
CRED RentPay Online,CRED RENTPAY ONLINE,House Rent Transfer via Credit Card,Rent & Housing
BusinessOwner Corporate Payout,SALARY/ISHANPATEL,Monthly Salary Credit - July 2025,Miscellaneous
Delhi Metro Fuel,DMRC CARD RECHARGE FUEL,Metro Smart Card Recharge,Transportation
Coursera Academy,COURSERA ACADEMY,Coursera Plus Annual Subscription,Education
Cafe Coffee Day,CAFE COFFEE DAY,Cappuccino,Food & Dining
Reliance Fresh Direct,RELIANCE RETAIL DIRECT,Monthly Pantry Groceries,Groceries
Licious Store,LICIOUS STORE,Prawns & Fish,Groceries
KFC Express,DEVYANI INTERNATIONAL EXPRESS,Popcorn Chicken,Food & Dining
Unacademy Academy,SORTING HAT TECHNOLOGIES ACADEMY,CAT Exam Preparation Plus Subscription,Education
Urban Company,URBAN COMPANY,Salon at Home - Haircut & Facial,Grooming
Flipkart Retail,FLIPKART RETAIL,Running Shoes & Sports Wear,Shopping
Starbucks Delivery,STARBUCKS COFFEE DELIVERY,Iced Americano & Croissant,Food & Dining
Tata Play DTH,TATA PLAY,Tata Play DTH - Recurring Subscription,Utilities
Swiggy,SWIGGY FOODS,Veg Meals,Food & Dining
Third Wave Coffee Delivery,THIRD WAVE COFFEE DELIVERY,Vietnamese Iced Coffee,Food & Dining
Air India Service,TATA AIR INDIA SERVICE,Business Class Upgrade,Transportation
Cult.fit Gym Care,CULT FIT CARE,Cultpass Elite 12 Months Gym Membership,Healthcare
NoBroker Rent Pay,NOBROKER RENT,Monthly Flat Rent Payment,Rent & Housing
Chai Point Delivery,MOUNTAIN TRAIL FOODS DELIVERY,Ice Chai & Sandwich,Food & Dining
Udemy,UDEMY ONLINE COURSES,Fullstack Web Development Bootcamp,Education
Nature's Basket Mart,SPENCERS NATURES BASKET MART,Exotic Vegetables & Cheese,Groceries
Paytm Money,PAYTM MONEY,Paytm Money - Recurring Subscription,Investments
Wow! Momo Express,WOW MOMO EXPRESS,Pan Fried Veg Momos,Food & Dining
Zudio Store,ZUDIO STORE,Casual T-shirts & Shorts,Shopping
Paytm Money Capital,PAYTM MONEY CAPITAL,ELSS Tax Saver Fund SIP,Investments
Subway,SUBWAY,Roasted Chicken Sub,Food & Dining
ICICI Direct Investments,ICICI DIRECT INVESTMENTS,Corporate Bond Purchase,Investments
Westside Fashion,WESTSIDE FASHION,Formal Trousers & Blazers,Shopping
Indane LPG Gas,INDANE GAS,Indane LPG Gas - Recurring Subscription,Utilities
Local Kirana Store Mart,LAKSHMI STORES MART,Soap & Shampoo Sachet,Groceries
Pizza Hut,PIZZA HUT,Tandoori Paneer Pizza,Food & Dining
ICICI Direct Capital,ICICI SECURITIES CAPITAL,Equity Portfolio Investment,Investments
JioFiber Utility,RELIANCE JIO INFOCOMM UTILITY,JioFiber Unlimited Internet Monthly Plan,Utilities
Third Wave Coffee Outlet,CUSTOMIZED COFFEE PVT OUTLET,Vietnamese Iced Coffee,Food & Dining
Country Delight Direct,ORGANICS COUNTRY DELIGHT DIRECT,Cow Milk Monthly Subscription,Groceries
Domino's Pizza Express,DOMINOS PIZZA EXPRESS,Party Combo,Food & Dining
Zepto Direct,ZEPTO DIRECT,Instant Grocery Delivery,Groceries
Adani Electricity Bill,ADANI ELECTRICITY BILL,Adani Electricity Bill - Recurring Subscription,Utilities
Landlord Direct Rent Pay,RENT PAYMENT PAY,Landlord Direct Rent Pay - Recurring Subscription,Rent & Housing
BookMyShow Digital,BMS TICKETS DIGITAL,Movie Tickets for 2 - IMAX 3D,Entertainment
Decathlon Store,DECATHLON STORE,Yoga Mat & Dumbbells,Shopping
Haldiram's Delivery,HALDIRAMS SWEETS DELIVERY,Pav Bhaji & Sweets Pack,Food & Dining
Vijay Sales Digital,VIJAY SALES RETAIL DIGITAL,Microwave Oven,Shopping
Cafe Coffee Day Express,COFFEE DAY GLOBAL EXPRESS,Cappuccino,Food & Dining
Pizza Hut,PIZZA HUT,Personal Pan Pizza,Food & Dining
Amazon India,AMAZON,Wireless Bluetooth Earbuds,Shopping
Chaayos,CHAAYOS,Kulhad Chai & Poha,Food & Dining
CRED RentPay Pay,DREAMPLUG RENT PAY,Flat Rent Pay via CRED,Rent & Housing
Unacademy,SORTING HAT TECHNOLOGIES,CAT Exam Preparation Plus Subscription,Education
School Tuition Fee Academy,DELHI PUBLIC SCHOOL FEE ACADEMY,Quarterly School Tuition & Transport Fee,Education
CRED RentPay,DREAMPLUG RENT,House Rent Transfer via Credit Card,Rent & Housing
H&M India,H&M RETAIL INDIA,Cotton Basic Tops,Shopping
Naturals Ice Cream Outlet,KAMAT HOTELS NATURALS OUTLET,Tender Coconut Ice Cream,Food & Dining
Housing.com Rent Online,LOCON SOLUTIONS ONLINE,House Rent Payment via Housing Pay,Rent & Housing
Jawed Habib Salon Spa,JAWED HABIB SPA,Beard Trim & Hair Spa,Grooming
FASTag Recharge Fuel,NETC FASTAG FUEL,FASTag Auto Recharge,Transportation
Apple Store Store,UNICORN APPLE STORE,AirPods Pro 2,Shopping
